result,r_multiple,end_bar,tp1_hit,entry,exit,symbol,signal,trade_type,rr_signal,signal_time,market_mode
BE_WIN,0.82,19,False,156.936,155.69643063901137,AAVE/USDT,SELL,trend,2.11,2026-01-21 08:15:00,bear
BE_WIN,0.0,70,False,126.88,126.88,AAVE/USDT,SELL,trend,2.99,2026-02-01 07:00:00,bear
BE_WIN,0.0,7,False,125.355,125.355,AAVE/USDT,SELL,trend,1.73,2026-02-02 04:45:00,bear
BE_WIN,1.43,102,False,128.437,124.36711619891253,AAVE/USDT,SELL,trend,2.81,2026-02-02 17:30:00,bear
LOSS,-1.0,15,False,112.521,115.76196789530705,AAVE/USDT,SELL,trend,3.25,2026-02-07 00:15:00,bear
LOSS,-1.0,31,False,109.885,115.07700408085826,AAVE/USDT,SELL,trend,3.4,2026-02-09 10:15:00,bear
LOSS,-1.0,24,False,105.7,110.19143541412097,AAVE/USDT,SELL,trend,3.0,2026-02-11 08:00:00,bear
BE_WIN,1.29,7,True,125.406,126.33509902941192,AAVE/USDT,BUY,trend,2.29,2026-02-16 05:45:00,recovery
LOSS,-1.0,11,False,120.605,120.0004470481965,AAVE/USDT,BUY,trend,1.65,2026-03-18 07:45:00,recovery
BE_WIN,1.5,11,False,98.173,97.1530190308471,AAVE/USDT,SELL,trend,2.61,2026-03-28 20:15:00,bear
BE_WIN,1.16,14,False,99.207,98.15482570967414,AAVE/USDT,SELL,trend,3.1,2026-03-30 13:45:00,bear
LOSS,-1.0,2,False,95.181,95.92037485593478,AAVE/USDT,SELL,trend,3.35,2026-04-03 12:00:00,bear
WIN,2.04,31,True,418.818,381.098,ZEC/USDT,SELL,trend,2.04,2026-01-09 20:15:00,recovery
LOSS,-1.0,11,False,354.555,360.7819893044263,ZEC/USDT,SELL,trend,1.96,2026-01-22 05:15:00,bear
BE_WIN,0.0,66,False,302.101,302.101,ZEC/USDT,SELL,trend,3.08,2026-02-01 06:30:00,bear
LOSS,-1.0,9,False,294.659,288.7102030594888,ZEC/USDT,BUY,trend,2.29,2026-02-17 02:15:00,recovery
BE_WIN,1.59,66,False,250.777,240.14480570287827,ZEC/USDT,SELL,trend,2.71,2026-02-22 08:30:00,recovery
LOSS,-1.0,5,False,197.613,199.8539328250055,ZEC/USDT,SELL,trend,2.46,2026-03-08 18:00:00,bear
LOSS,-1.0,4,False,268.889,265.6732195137375,ZEC/USDT,BUY,trend,2.12,2026-03-17 12:45:00,recovery
BE_WIN,1.43,12,True,0.1177,0.1160155264357704,ALGO/USDT,SELL,trend,2.2,2026-01-21 10:00:00,bear
BE_WIN,0.0,19,False,0.1182,0.1182,ALGO/USDT,SELL,trend,1.83,2026-01-22 12:00:00,bear
LOSS,-1.0,6,False,0.1183,0.11894633421867341,ALGO/USDT,SELL,trend,1.89,2026-01-22 22:30:00,bear
WIN,3.49,83,True,0.1183,0.1138,ALGO/USDT,SELL,trend,2.48,2026-01-24 20:30:00,bear
LOSS,-1.0,28,False,0.1119,0.11312520487705921,ALGO/USDT,SELL,trend,1.8,2026-01-30 07:30:00,bear
BE_WIN,3.36,22,True,0.1121,0.1092258465303013,ALGO/USDT,SELL,trend,2.81,2026-01-31 03:00:00,bear
LOSS,-1.0,4,False,0.1045,0.10523912262316817,ALGO/USDT,SELL,trend,1.57,2026-02-01 06:30:00,bear
BE_WIN,0.0,59,False,0.1032,0.1032,ALGO/USDT,SELL,trend,3.24,2026-02-01 10:45:00,bear
LOSS,-1.0,2,False,0.1026,0.10348491950912307,ALGO/USDT,SELL,trend,1.74,2026-02-02 11:45:00,bear
LOSS,-1.0,2,False,0.1035,0.1043544608568603,ALGO/USDT,SELL,trend,1.51,2026-02-02 14:00:00,bear
BE_WIN,0.0,94,False,0.1052,0.1052,ALGO/USDT,SELL,trend,2.59,2026-02-02 19:45:00,bear
WIN,2.42,36,True,0.1088,0.1051,ALGO/USDT,SELL,trend,2.42,2026-02-04 04:45:00,bear
BE_WIN,1.6,18,False,0.0918,0.09100020090370878,ALGO/USDT,SELL,trend,1.67,2026-02-10 22:45:00,bear
LOSS,-1.0,32,False,0.0895,0.09231798442016712,ALGO/USDT,SELL,trend,3.19,2026-02-11 06:00:00,bear
LOSS,-1.0,64,False,0.0898,0.09281025919466102,ALGO/USDT,SELL,trend,3.09,2026-02-11 18:45:00,bear
BE_WIN,1.03,13,True,0.0916,0.09118492112852375,ALGO/USDT,SELL,trend,2.15,2026-02-19 02:15:00,bear
BE_WIN,1.9,5,False,0.0913,0.09062522228742859,ALGO/USDT,SELL,trend,3.39,2026-02-19 07:15:00,bear
LOSS,-1.0,1,False,0.089,0.08927426138713629,ALGO/USDT,SELL,trend,2.26,2026-02-20 00:00:00,bear
BE_WIN,0.0,83,False,0.0866,0.0866,ALGO/USDT,SELL,trend,3.25,2026-02-22 14:30:00,recovery
BE_WIN,6.61,20,True,0.0868,0.08434559267352924,ALGO/USDT,SELL,trend,1.6,2026-02-28 01:15:00,bear
BE_WIN,1.04,25,False,0.087,0.08560764166266725,ALGO/USDT,SELL,trend,2.69,2026-03-01 15:45:00,bear
BE_WIN,0.0,15,False,0.0847,0.0847,ALGO/USDT,SELL,trend,2.02,2026-03-07 01:00:00,recovery
LOSS,-1.0,5,False,4.362,4.408379258962011,INJ/USDT,SELL,trend,2.74,2026-01-27 14:30:00,bear
BE_WIN,0.0,56,False,3.599,3.599,INJ/USDT,SELL,trend,3.11,2026-02-01 10:30:00,bear
BE_WIN,0.0,107,False,3.684,3.684,INJ/USDT,SELL,trend,1.83,2026-02-02 17:30:00,bear
LOSS,-1.0,36,False,3.17,3.3278103341760876,INJ/USDT,SELL,trend,3.3,2026-02-07 07:00:00,bear
BE_WIN,0.0,115,False,2.841,2.841,INJ/USDT,SELL,trend,3.26,2026-03-07 19:45:00,bear
WIN,3.09,36,True,1.5474,1.509,NEAR/USDT,SELL,trend,2.84,2026-01-22 05:45:00,bear
BE_WIN,0.0,51,False,1.1801,1.1801,NEAR/USDT,SELL,trend,2.68,2026-02-01 15:00:00,bear
BE_WIN,1.93,92,True,1.2118,1.1573093080393668,NEAR/USDT,SELL,trend,2.69,2026-02-02 20:00:00,bear
BE_WIN,0.0,64,False,1.0814,1.0814,NEAR/USDT,SELL,trend,2.17,2026-02-07 00:00:00,bear
LOSS,-1.0,39,False,0.9964,1.0450500020047755,NEAR/USDT,SELL,trend,3.18,2026-02-09 10:15:00,bear
BE_WIN,1.48,36,True,1.0301,1.0046218272365508,NEAR/USDT,SELL,trend,2.55,2026-02-09 23:45:00,bear
LOSS,-1.0,115,False,0.9648,1.0046529557278427,NEAR/USDT,SELL,trend,3.08,2026-02-11 06:00:00,bear
BE_WIN,0.0,24,False,1.3534,1.3534,NEAR/USDT,BUY,trend,2.47,2026-03-03 15:15:00,recovery
LOSS,-1.0,24,False,1.3605,1.338074172159203,NEAR/USDT,BUY,trend,2.44,2026-03-13 16:00:00,recovery
BE_WIN,0.0,6,False,1.1878,1.1878,NEAR/USDT,SELL,trend,3.23,2026-03-28 20:15:00,bear
LOSS,-1.0,4,False,12.685,12.753948589580848,AVAX/USDT,SELL,trend,2.25,2026-01-20 04:45:00,bear
WIN,3.2,68,True,12.8603,12.3825,LINK/USDT,SELL,trend,2.05,2026-01-19 22:00:00,bear
LOSS,-1.0,1,False,10.7559,10.82806510153009,LINK/USDT,SELL,trend,1.85,2026-01-31 02:15:00,bear
BE_WIN,1.16,50,False,9.7966,9.509438688601568,LINK/USDT,SELL,trend,3.34,2026-02-01 10:30:00,bear
BE_WIN,1.53,94,False,9.7874,9.392557909027673,LINK/USDT,SELL,trend,2.97,2026-02-02 19:45:00,bear
LOSS,-1.0,25,False,8.4745,8.873532008071622,LINK/USDT,SELL,trend,3.3,2026-02-09 10:30:00,bear
LOSS,-1.0,76,False,8.2135,8.592685831970998,LINK/USDT,SELL,trend,2.78,2026-02-11 16:30:00,bear
BE_WIN,1.49,67,False,69.51,67.50820353528783,LTC/USDT,SELL,trend,2.94,2026-01-20 07:45:00,bear
BE_WIN,0.0,23,False,68.58,68.58,LTC/USDT,SELL,trend,3.04,2026-01-21 08:15:00,bear
BE_WIN,0.0,86,False,68.79,68.79,LTC/USDT,SELL,trend,2.97,2026-01-22 03:30:00,bear
LOSS,-1.0,3,False,68.63,68.82748247263503,LTC/USDT,SELL,trend,1.58,2026-01-24 12:45:00,bear
WIN,2.18,41,True,65.06,62.75,LTC/USDT,SELL,trend,2.18,2026-01-30 22:15:00,bear
BE_WIN,0.0,49,False,58.73,58.73,LTC/USDT,SELL,trend,3.06,2026-02-01 10:45:00,bear
LOSS,-1.0,7,False,59.15,60.25286691321949,LTC/USDT,SELL,trend,2.38,2026-02-03 02:45:00,bear
BE_WIN,1.19,8,False,60.64,60.14690220540936,LTC/USDT,SELL,trend,2.68,2026-02-04 09:00:00,bear
LOSS,-1.0,39,False,52.73,55.07941840055824,LTC/USDT,SELL,trend,3.24,2026-02-09 10:15:00,bear
BE_WIN,1.12,23,True,54.7,54.153942842106325,LTC/USDT,SELL,trend,2.12,2026-02-09 22:15:00,bear
LOSS,-1.0,73,False,51.35,53.64720798845179,LTC/USDT,SELL,trend,2.72,2026-02-11 16:30:00,bear
LOSS,-1.0,79,False,50.42,51.987792650560124,LTC/USDT,SELL,trend,3.39,2026-02-24 05:15:00,bear
BE_WIN,0.97,26,False,57.7,58.12413973615558,LTC/USDT,BUY,trend,2.94,2026-03-17 13:30:00,recovery
BE_WIN,0.0,13,False,1.3509,1.3509,FIL/USDT,SELL,trend,1.56,2026-01-22 05:30:00,bear
BE_WIN,0.0,51,False,1.0473,1.0473,FIL/USDT,SELL,trend,3.39,2026-02-01 15:00:00,bear
LOSS,-1.0,39,False,1.0422,1.071788717304612,FIL/USDT,SELL,trend,3.3,2026-02-02 04:45:00,bear
BE_WIN,0.0,4,False,1.0848,1.0848,FIL/USDT,SELL,trend,1.83,2026-02-02 23:00:00,bear
LOSS,-1.0,10,False,1.0695,1.0895119049077358,FIL/USDT,SELL,trend,3.17,2026-02-03 02:00:00,bear
LOSS,-1.0,15,False,0.9746,0.9894664321511193,FIL/USDT,SELL,trend,2.01,2026-02-06 23:15:00,bear
BE_WIN,1.76,11,False,0.9859,0.9670717306620812,FIL/USDT,SELL,trend,2.03,2026-02-07 04:15:00,bear
BE_WIN,1.79,72,True,0.974,0.9416402498912607,FIL/USDT,SELL,trend,1.62,2026-02-08 00:00:00,bear
LOSS,-1.0,33,False,0.8995,0.9407117431676794,FIL/USDT,SELL,trend,3.13,2026-02-09 10:15:00,bear
BE_WIN,2.16,31,False,0.9407,0.9214666426058524,FIL/USDT,SELL,trend,2.33,2026-02-09 23:00:00,bear
